,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,2,3,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,2
0,2,3,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,1,3,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,3,3,3,0,1,0,1.1,11.0,1,1,2
0,0,3,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,2,3,4,1,0,0,0.40000000000000013,10.0,0,1,3
0,0,3,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,3
0,3,3,4,0,1,0,1.0,10.0,0,0,3
0,1,3,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,3
0,2,3,5,1,0,0,0.30000000000000016,9.0,4,-0.2,4
0,3,3,5,0,1,0,0.9,9.0,0,0,3
0,0,3,5,0,0,0,0.30000000000000016,3.0000000000000013,3,-0.2,4
0,1,3,5,0,0,0,0.30000000000000016,3.0000000000000013,0,0,4
0,2,3,6,1,0,0,0.20000000000000015,8.000000000000002,4,-0.2,5
0,0,3,6,1,0,0,0.20000000000000015,8.000000000000002,0,1,5
0,3,3,6,0,1,0,0.8,8.0,0,0,3
0,1,3,6,0,0,0,0.20000000000000015,2.0000000000000013,0,0,4
0,0,3,7,0,1,0,0.7000000000000002,7.000000000000002,1,1,6
0,2,3,7,0,1,0,0.7000000000000002,7.000000000000002,1,1,6
0,1,3,7,0,0,0,0.10000000000000014,1.0000000000000013,0,0,4
0,3,3,7,0,1,0,0.7000000000000001,7.0,0,0,3
0,2,3,8,0,1,0,0.6000000000000002,6.000000000000002,0,0,6
0,1,3,8,1,0,0,1.3877787807814457e-16,6.000000000000001,0,1,4
0,0,3,8,0,1,0,0.6000000000000002,6.000000000000002,0,0,6
0,3,3,8,0,1,0,0.6000000000000001,6.000000000000001,0,0,3
0,1,3,9,0,1,0,0.5000000000000001,5.000000000000001,1,1,5
0,3,3,9,1,1,0,0.5000000000000001,11.0,0,1,3
0,2,3,9,0,1,0,0.5000000000000002,5.000000000000002,0,0,6
0,0,3,9,1,1,0,0.5000000000000002,11.0,0,1,7
0,1,3,10,0,1,0,0.40000000000000013,4.000000000000001,0,0,5
0,0,3,10,0,2,0,1.0,10.0,1,1,8
0,2,3,10,0,1,0,0.40000000000000024,4.000000000000002,0,0,7
0,3,3,10,0,2,0,1.0,10.0,1,1,4
0,0,3,11,0,2,0,0.9,9.0,0,0,9
0,3,3,11,0,2,0,0.9,9.0,0,0,4
0,1,3,11,0,1,0,0.30000000000000016,3.0000000000000013,0,0,5
0,2,3,11,0,1,0,0.30000000000000027,3.0000000000000027,0,0,8
0,3,3,12,0,2,0,0.8,8.0,3,-0.2,5
0,0,3,12,1,2,0,0.8,13.999999999999998,0,1,9
0,1,3,12,0,1,0,0.20000000000000015,2.0000000000000013,0,0,6
0,2,3,12,1,1,0,0.20000000000000026,8.000000000000002,0,1,8
0,0,3,13,0,3,0,1.2999999999999998,12.999999999999998,1,1,10
0,1,3,13,0,1,0,0.10000000000000014,1.0000000000000013,2,-0.2,7
0,2,3,13,0,2,0,0.7000000000000003,7.000000000000003,1,1,9
0,3,3,13,0,2,0,0.7000000000000001,7.0,0,0,5
0,2,3,14,0,2,0,0.6000000000000003,6.000000000000003,0,0,10
0,0,3,14,0,3,0,1.1999999999999997,11.999999999999996,0,0,10
0,3,3,14,0,2,0,0.6000000000000001,6.000000000000001,0,0,6
0,1,3,14,1,1,0,1.3877787807814457e-16,6.000000000000001,0,1,7
0,0,3,15,0,3,0,1.0999999999999996,10.999999999999996,0,0,10
0,3,3,15,0,2,0,0.5000000000000001,5.000000000000001,0,0,6
0,1,3,15,0,2,0,0.5000000000000001,5.000000000000001,1,1,8
0,2,3,15,0,2,0,0.5000000000000003,5.000000000000003,0,0,10
0,3,3,16,0,2,0,0.40000000000000013,4.000000000000001,0,0,7
0,1,3,16,0,2,0,0.40000000000000013,4.000000000000001,0,0,8
0,0,3,16,0,3,0,0.9999999999999997,9.999999999999996,0,0,10
0,2,3,16,0,2,0,0.40000000000000036,4.0000000000000036,0,0,10
0,1,3,17,0,2,0,0.30000000000000016,3.0000000000000013,0,0,8
0,2,3,17,1,2,0,0.3000000000000004,9.000000000000004,0,1,10
0,0,3,17,0,3,0,0.8999999999999997,8.999999999999996,0,0,10
0,3,3,17,0,2,0,0.30000000000000016,3.0000000000000013,0,0,8
0,3,3,18,0,2,0,0.20000000000000015,2.0000000000000013,0,0,8
0,0,3,18,1,3,0,0.7999999999999997,13.999999999999996,0,1,10
0,2,3,18,0,3,0,0.8000000000000004,8.000000000000004,1,1,11
0,1,3,18,0,2,0,0.20000000000000015,2.0000000000000013,0,0,8
0,1,3,19,0,2,0,0.10000000000000014,1.0000000000000013,0,0,9
