,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
10042,2,58,50,0,9,3,1.1999999999999995,11.999999999999996,1,2.0,28,9
10147,2,59,27,0,5,4,1.0999999999999996,10.999999999999996,0,0.0,19,5
10148,1,59,27,1,3,4,0.0,5.000000000000002,0,-1.0,18,4
10231,1,60,21,0,5,2,1.6999999999999988,16.999999999999986,0,0.0,12,5
10232,2,60,21,1,2,1,0.0,5.000000000000003,0,0.0,12,3
10406,3,61,44,0,14,6,4.8000000000000025,48.00000000000002,1,-0.2,17,14
10407,2,61,44,0,6,5,0.0,0.0,3,-1.2,33,6
10606,0,62,50,0,10,9,1.799999999999998,17.99999999999998,2,1.5,27,10
10607,2,62,50,0,9,2,1.2000000000000002,12.000000000000002,4,0.8,30,9
10806,3,63,50,0,12,2,2.9999999999999973,29.99999999999997,0,1.0,22,12
10807,1,63,50,0,8,3,0.5999999999999998,5.999999999999997,2,1.5,26,8
11003,1,64,49,1,8,6,0.6999999999999984,12.999999999999984,0,1.0,25,9
11004,2,64,50,0,7,5,0.0,0.0,3,-0.1999999999999999,30,7
11039,0,65,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,4,1
11040,1,65,9,0,0,0,0.0,0.0,0,-1.0,5,0
11239,2,66,50,1,8,2,0.6000000000000008,12.000000000000004,0,2.0,25,9
11240,3,66,50,0,11,5,2.399999999999997,23.999999999999968,0,1.0,21,11
11320,0,67,20,1,4,1,1.2000000000000004,18.0,0,1.0,12,5
11321,1,67,21,0,3,1,0.6,5.999999999999999,0,-1.0,14,3
11520,0,68,50,0,8,8,0.5999999999999989,5.9999999999999885,1,2.0,36,8
11521,2,68,50,0,8,3,0.6000000000000005,6.000000000000005,1,0.8,31,8
11720,0,69,50,0,9,6,1.1999999999999993,11.999999999999991,1,2.0,34,9
11721,3,69,50,0,13,6,3.599999999999996,35.99999999999996,0,1.0,24,13
11920,0,70,50,0,10,6,1.799999999999999,17.99999999999999,0,1.0,32,10
11921,3,70,50,1,12,5,2.999999999999997,35.999999999999964,0,2.0,26,13
11954,2,71,9,0,3,1,1.6999999999999995,16.999999999999996,3,0.5,7,3
11955,3,71,9,0,0,0,0.0,0.0,4,-1.2,7,0
12154,3,72,50,0,13,5,3.5999999999999965,35.999999999999964,0,1.0,24,13
12155,1,72,50,0,10,4,1.799999999999998,17.99999999999998,0,1.0,28,10
12354,2,73,50,0,8,3,0.6000000000000001,6.000000000000001,3,1.5,35,8
12355,3,73,50,0,14,3,4.199999999999998,41.99999999999998,2,0.8,25,14
12554,3,74,50,0,14,3,4.199999999999998,41.99999999999998,2,0.8,22,14
12555,2,74,50,0,9,5,1.199999999999998,11.99999999999998,3,0.8,30,9
12754,0,75,50,0,9,7,1.1999999999999995,11.999999999999996,2,1.5,37,9
12755,1,75,50,1,9,4,1.1999999999999993,17.999999999999993,0,2.0,35,10
12788,3,76,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,6,1
12789,0,76,9,0,0,1,0.0,0.0,3,-1.2,7,0
12988,1,77,50,0,10,5,1.799999999999998,17.99999999999998,0,1.0,27,10
12989,2,77,50,1,10,4,1.7999999999999994,23.999999999999996,0,2.0,21,11
13188,2,78,50,0,9,7,1.1999999999999975,11.999999999999975,3,0.8,27,9
13189,3,78,50,1,13,4,3.599999999999997,41.99999999999997,0,2.0,26,14
13385,3,79,49,0,15,2,4.900000000000002,49.00000000000002,3,-0.2,26,15
13386,2,79,50,0,7,4,0.0,0.0,1,-0.1999999999999999,33,7
13583,3,80,50,0,14,5,4.200000000000002,42.000000000000014,0,1.0,26,14
13584,1,80,50,1,7,3,0.0,5.999999999999998,0,1.0,34,8
13783,2,81,50,0,9,7,1.199999999999998,11.99999999999998,0,1.0,29,9
13784,1,81,50,0,11,5,2.3999999999999977,23.99999999999997,0,1.0,36,11
13867,1,82,21,0,5,1,1.6999999999999988,16.999999999999986,2,-0.2,11,5
13868,0,82,21,0,2,2,0.0,0.0,2,-1.2,15,2
14067,0,83,50,0,9,7,1.1999999999999995,11.999999999999996,0,1.0,30,9
14068,1,83,50,0,10,7,1.7999999999999985,17.999999999999982,0,1.0,31,10
14267,3,84,50,0,13,2,3.599999999999998,35.99999999999998,0,1.0,26,13
14268,2,84,50,0,9,2,1.1999999999999986,11.999999999999986,0,1.0,23,9
14467,0,85,50,1,9,8,1.1999999999999993,17.999999999999993,0,2.0,27,10
14468,2,85,50,1,8,1,0.6000000000000001,12.000000000000002,0,2.0,25,9
14647,3,86,45,1,13,4,4.100000000000002,47.000000000000014,0,1.0,26,14
14648,1,86,45,1,6,5,0.0,5.000000000000004,4,-1.2,33,7
14847,2,87,50,0,9,1,1.1999999999999995,11.999999999999996,0,1.0,32,9
14848,1,87,50,0,9,2,1.1999999999999995,11.999999999999996,0,1.0,35,9
15047,1,88,50,0,9,3,1.1999999999999995,11.999999999999996,1,2.0,30,9
15048,3,88,50,0,11,5,2.3999999999999977,23.99999999999997,0,1.0,26,11
15247,0,89,50,1,8,7,0.5999999999999998,11.999999999999996,0,2.0,31,9
15248,3,89,50,1,15,4,4.800000000000002,54.00000000000001,0,2.0,29,16
15330,1,90,21,0,5,2,1.6999999999999988,16.999999999999986,1,1.0,11,5
15331,2,90,21,0,2,1,0.0,0.0,4,-1.2,16,2
15530,0,91,50,1,8,6,0.6000000000000002,12.000000000000002,0,2.0,31,9
15531,3,91,50,1,13,5,3.599999999999997,41.999999999999964,0,2.0,25,14
15730,3,92,50,0,12,8,2.999999999999997,29.999999999999968,1,2.0,23,12
