,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
11910,0,71,26,0,3,2,4.718447854656915e-16,4.718447854656915e-15,2,-0.1,16,3
11911,0,71,27,0,3,2,0.0,0.0,2,-1.1,16,3
12087,2,72,44,0,9,0,1.7999999999999976,17.999999999999975,1,-0.1,24,9
12088,0,72,45,0,6,4,0.0,0.0,4,-1.1,23,6
12164,0,73,19,0,3,2,0.7000000000000005,7.000000000000004,0,0.0,14,3
12165,3,73,20,0,2,1,0.0,0.0,0,-1.0,16,2
12364,0,74,50,0,8,5,0.6,5.999999999999999,0,1.0,25,8
12365,2,74,50,0,11,1,2.3999999999999964,23.99999999999996,1,1.4,23,11
12543,1,75,45,0,11,0,2.8999999999999986,28.999999999999982,1,0.4,25,11
12544,0,75,45,1,6,3,0.0,5.000000000000007,0,0.2,24,7
12743,0,76,50,1,8,4,0.600000000000001,12.00000000000001,0,2.2,18,9
12744,1,76,50,0,9,0,1.1999999999999966,11.999999999999966,1,0.9,27,9
12825,3,77,21,0,5,0,1.6999999999999988,16.999999999999986,0,0.0,12,5
12826,0,77,21,1,2,1,0.0,5.000000000000003,0,0.2,14,3
13025,1,78,50,0,10,0,1.799999999999998,17.99999999999998,1,0.9,28,10
13026,2,78,50,1,10,0,1.7999999999999976,23.99999999999997,0,1.8,26,11
13133,0,79,27,0,4,3,0.5000000000000002,5.000000000000002,1,-0.1,18,4
13134,1,79,27,0,3,0,0.0,0.0,0,-1.0,17,3
13333,2,80,50,0,11,0,2.399999999999997,23.999999999999968,0,1.0,17,11
13334,0,80,50,0,8,5,0.6000000000000009,6.000000000000008,1,1.8,12,8
13533,3,81,50,0,10,3,1.7999999999999985,17.999999999999982,0,1.0,17,10
13534,1,81,50,1,11,0,2.3999999999999977,29.99999999999997,0,1.8,27,12
13733,3,82,50,0,12,1,2.9999999999999973,29.99999999999997,1,0.9,28,12
13734,2,82,50,0,10,0,1.799999999999998,17.99999999999998,0,1.0,25,10
13933,3,83,50,0,10,1,1.7999999999999967,17.999999999999964,0,1.0,25,10
13934,2,83,50,0,11,0,2.3999999999999977,23.99999999999997,0,1.0,27,11
14133,1,84,50,0,9,0,1.199999999999998,11.99999999999998,1,1.4,20,9
14134,3,84,50,0,11,0,2.399999999999997,23.99999999999997,4,0.9,23,11
14333,0,85,50,0,8,3,0.6000000000000004,6.000000000000004,0,1.0,18,8
14334,3,85,50,0,10,2,1.7999999999999965,17.99999999999996,3,0.9,22,10
14533,3,86,50,0,10,2,1.7999999999999976,17.999999999999975,0,1.0,19,10
14534,1,86,50,0,9,0,1.199999999999997,11.99999999999997,1,0.9,25,9
14733,0,87,50,0,8,1,0.600000000000001,6.00000000000001,3,0.9,21,8
14734,2,87,50,0,11,0,2.399999999999998,23.99999999999998,3,0.9,24,11
14933,1,88,50,0,8,0,0.6,5.999999999999999,1,0.9,30,8
14934,3,88,50,0,12,1,2.9999999999999973,29.99999999999997,0,1.0,25,12
15133,2,89,50,0,10,0,1.7999999999999976,17.999999999999975,1,0.9,25,10
15134,1,89,50,0,11,0,2.399999999999997,23.999999999999968,0,1.0,27,11
