agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
1,58,50,0,16,13,5.400000000000002,54.00000000000002,4,1.9,8,16
0,59,50,5,11,16,2.3999999999999977,53.99999999999997,4,1.9,13,16
1,59,50,0,16,8,5.4,53.99999999999999,4,1.9,9,16
0,60,9,2,1,0,0.5000000000000001,17.0,5,0.4,5,3
1,60,9,0,0,0,0.0,0.0,4,-1.1,4,0
0,61,50,3,13,17,3.599999999999997,53.999999999999964,0,1.0,12,16
1,61,50,0,17,12,6.000000000000001,60.00000000000001,1,1.0,7,17
0,62,50,1,20,20,7.800000000000006,84.00000000000006,4,1.9,17,21
1,62,50,0,20,18,7.800000000000004,78.00000000000004,2,1.0,10,20
0,63,50,5,13,18,3.599999999999997,65.99999999999997,4,1.9,13,18
1,63,50,0,18,13,6.600000000000005,66.00000000000004,1,1.0,9,18
0,64,50,2,13,16,3.599999999999997,47.99999999999997,4,1.9,14,15
1,64,50,0,17,11,5.999999999999999,59.99999999999999,4,1.9,9,17
0,65,50,2,14,16,4.199999999999998,53.99999999999999,3,1.0,15,16
1,65,50,0,17,13,6.000000000000001,60.00000000000001,3,1.0,11,17
0,66,50,5,14,17,4.1999999999999975,71.99999999999997,0,1.4,12,19
1,66,50,0,18,14,6.600000000000005,66.00000000000004,3,1.0,11,18
0,67,50,4,15,17,4.799999999999999,71.99999999999999,2,1.4,15,19
1,67,50,0,18,14,6.600000000000005,66.00000000000004,4,1.9,11,18
0,68,50,0,16,17,5.400000000000004,54.00000000000004,4,1.9,15,16
1,68,50,0,17,13,6.000000000000004,60.00000000000004,0,1.0,10,17
0,69,50,2,11,16,2.399999999999997,35.999999999999964,3,1.0,11,13
1,69,50,0,16,10,5.400000000000006,54.00000000000006,0,1.0,9,16
0,70,50,1,16,17,5.4,60.0,1,0.9,13,17
1,70,50,1,17,15,6.000000000000003,66.00000000000001,4,2.7,9,18
0,71,50,6,8,14,0.5999999999999993,41.99999999999999,2,1.0,14,14
1,71,50,0,14,6,4.2,42.0,1,1.0,10,14
0,72,50,1,13,9,3.6,41.99999999999999,3,1.8,14,14
1,72,50,0,9,5,1.1999999999999966,11.999999999999966,4,1.5,6,9
0,73,50,3,8,12,0.6000000000000002,24.0,3,1.0,14,11
1,73,50,0,12,4,2.9999999999999973,29.99999999999997,1,1.0,10,12
0,74,50,0,15,15,4.800000000000001,48.00000000000001,4,0.9,20,15
1,74,50,0,15,13,4.800000000000001,48.00000000000001,3,1.0,11,15
0,75,50,0,9,11,1.1999999999999966,11.999999999999966,0,0.9,10,9
1,75,50,0,11,8,2.400000000000002,24.00000000000002,0,1.0,7,11
0,76,50,5,9,14,1.199999999999997,41.99999999999997,2,1.8,17,14
