agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
1,52,15,0,1,0,0.0,0.0,2,-1.2,4,1
1,53,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,5,1
1,53,15,0,1,0,0.0,0.0,2,-1.2,5,1
1,54,14,1,1,0,1.3877787807814454e-16,6.000000000000001,2,-0.2,5,2
1,54,15,1,1,0,0.0,5.000000000000001,2,-1.2,5,2
0,55,32,1,6,3,1.1999999999999993,17.999999999999993,5,1.0,11,7
1,55,33,0,4,0,0.0,0.0,2,-1.2,6,4
1,56,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,2,0
1,56,9,0,0,0,0.0,0.0,2,-1.2,2,0
1,57,8,1,0,0,1.3877787807814454e-16,6.000000000000001,2,-0.2,4,1
1,57,9,1,0,0,0.0,5.000000000000001,2,-1.2,4,1
1,58,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,5,1
1,58,15,0,1,0,0.0,0.0,2,-1.2,5,1
0,59,50,1,14,7,4.199999999999998,47.99999999999998,1,1.0,20,15
1,59,50,0,8,0,0.5999999999999993,5.999999999999993,2,0.8,7,8
0,60,43,0,8,5,1.2999999999999972,12.999999999999972,4,-0.2,17,8
1,60,44,0,6,0,0.0,0.0,2,-1.0,7,6
1,61,26,0,3,0,2.775557561562892e-17,2.7755575615628914e-16,2,-0.2,8,3
1,61,27,0,3,0,0.0,0.0,2,-1.2,8,3
0,62,50,1,10,10,1.7999999999999972,23.99999999999997,1,2.0,19,11
1,62,50,0,10,0,1.7999999999999994,17.999999999999993,2,0.8,5,10
0,63,15,0,2,1,0.5000000000000002,5.000000000000002,1,0.0,9,2
1,63,15,0,1,0,0.0,0.0,2,-1.2,4,1
1,64,20,0,2,0,3.6082248300317592e-16,3.608224830031759e-15,2,-0.2,3,2
1,64,21,0,2,0,0.0,0.0,2,-1.2,3,2
0,65,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,2,0
0,65,9,0,0,0,0.0,0.0,0,-1.0,2,0
0,66,8,0,2,0,1.1999999999999995,11.999999999999996,5,1.0,3,2
1,66,9,0,0,0,0.0,0.0,2,-1.2,2,0
1,67,50,1,8,0,0.5999999999999998,11.999999999999996,2,1.0,6,9
0,67,50,1,15,8,4.799999999999998,53.99999999999997,5,3.0,17,16
0,68,33,0,9,4,2.8999999999999986,28.999999999999982,5,1.0,16,9
1,68,33,0,4,0,0.0,0.0,2,-1.2,4,4
0,69,21,1,3,2,0.5000000000000002,11.0,0,1.0,7,4
1,69,21,0,2,0,0.0,0.0,2,-1.2,4,2
1,70,50,0,7,0,5.828670879282072e-16,5.828670879282072e-15,2,0.8,7,7
0,70,50,0,12,6,2.999999999999997,29.999999999999968,5,0.8,21,12
0,71,50,0,15,8,4.799999999999997,47.99999999999997,5,2.0,17,15
1,71,50,0,9,0,1.1999999999999988,11.999999999999988,0,1.0,5,9
0,72,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,4,0
1,72,9,0,0,0,0.0,0.0,2,-1.2,2,0
1,73,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,5,1
1,73,15,0,1,0,0.0,0.0,2,-1.2,5,1
0,74,9,1,3,0,1.6999999999999995,23.0,0,1.0,4,4
1,74,9,0,0,0,0.0,0.0,0,-1.0,4,0
0,75,38,0,8,5,1.7999999999999985,17.999999999999982,4,-0.2,13,8
1,75,39,0,5,0,0.0,0.0,3,-1.2,5,5
0,76,15,0,2,1,0.5000000000000001,5.000000000000001,5,1.0,8,2
1,76,15,0,1,0,0.0,0.0,2,-1.2,5,1
1,77,49,0,7,0,0.1000000000000008,1.000000000000008,2,-0.2,5,7
0,77,50,0,7,7,0.0,0.0,4,-0.1999999999999999,13,7
0,78,9,0,1,0,0.5000000000000002,5.000000000000002,4,-0.2,4,1
1,78,9,0,0,0,0.0,0.0,2,-1.2,3,0
1,79,50,0,9,0,1.1999999999999984,11.999999999999984,2,1.0,10,9
0,79,50,0,10,6,1.7999999999999965,17.99999999999996,3,1.0,20,10
0,80,50,0,14,7,4.199999999999998,41.99999999999998,1,1.0,19,14
1,80,50,0,8,0,0.5999999999999998,5.999999999999997,2,1.0,7,8
0,81,9,2,2,0,1.1,23.0,5,1.0,5,4
1,81,9,1,0,0,0.0,5.000000000000001,2,-1.2,3,1
0,82,8,0,2,0,1.2000000000000002,12.000000000000002,5,1.0,4,2
1,82,9,0,0,0,0.0,0.0,2,-1.2,2,0
1,83,20,0,2,0,2.775557561562892e-17,2.7755575615628914e-16,2,-0.2,5,2
0,83,20,0,2,1,0.0,0.0,0,-1.0,8,2
0,84,15,3,4,1,1.7000000000000002,35.0,5,1.0,8,7
1,84,15,0,1,0,0.0,0.0,2,-1.2,4,1
1,85,8,2,0,0,1.3877787807814454e-16,12.000000000000002,0,0.0,3,2
1,85,9,2,0,0,0.0,11.0,2,-1.0,3,2
1,86,8,2,0,0,1.3877787807814454e-16,12.000000000000002,2,-0.2,2,2
1,86,9,2,0,0,0.0,11.0,2,-1.2,2,2
0,87,8,0,1,0,0.6000000000000001,6.000000000000001,4,-0.2,5,1
1,87,9,0,0,0,0.0,0.0,2,-1.2,4,0
0,88,9,1,1,0,0.5000000000000001,11.0,2,1.0,3,2
1,88,9,1,0,0,0.0,5.000000000000001,0,-1.2,3,1
0,89,8,0,1,0,0.6000000000000002,6.000000000000002,5,1.0,5,1
1,89,9,0,0,0,0.0,0.0,2,-1.2,4,0
1,90,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,2,0
1,90,9,0,0,0,0.0,0.0,2,-1.2,2,0
0,91,9,1,3,0,1.7000000000000002,23.0,5,1.0,6,4
1,91,9,0,0,0,0.0,0.0,2,-1.2,3,0
1,92,20,0,2,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,5,2
1,92,21,0,2,0,0.0,0.0,2,-1.2,5,2
1,93,50,0,8,0,0.6000000000000009,6.000000000000008,0,1.0,6,8
0,93,50,3,11,8,2.399999999999998,41.99999999999997,5,3.0,17,14
0,94,50,0,10,7,1.7999999999999967,17.999999999999964,4,0.8,18,10
1,94,50,0,7,0,1.3877787807814454e-16,1.3877787807814457e-15,2,0.8,5,7
1,95,50,0,9,0,1.200000000000001,12.00000000000001,0,0.8,5,9
0,95,50,1,11,9,2.399999999999997,29.99999999999997,4,1.5,15,12
1,96,37,0,5,1,0.0999999999999998,0.999999999999998,2,-0.2,8,5
1,96,38,0,5,1,0.0,0.0,2,-1.2,8,5
1,97,25,0,3,0,0.1000000000000002,1.0000000000000024,0,0.0,4,3
0,97,26,0,3,3,0.0,0.0,4,-1.2,10,3
1,98,50,0,8,0,0.5999999999999989,5.9999999999999885,2,1.0,7,8
0,98,50,0,12,7,2.9999999999999973,29.99999999999997,4,0.8,20,12
1,99,26,0,3,0,3.6082248300317592e-16,3.608224830031759e-15,2,-0.2,5,3
1,99,27,0,3,0,0.0,0.0,2,-1.2,5,3
0,100,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,0.0,3,0
0,100,9,0,0,0,0.0,0.0,0,-1.0,3,0
0,101,9,4,2,0,1.1,35.0,5,2.0,6,6
1,101,9,1,0,0,0.0,5.000000000000001,0,-1.0,3,1
0,102,9,0,4,0,2.3,23.0,5,1.0,4,4
1,102,9,0,0,0,0.0,0.0,3,-1.2,3,0
0,103,15,1,4,1,1.7000000000000002,23.0,5,1.0,11,5
1,103,15,0,1,0,0.0,0.0,2,-1.2,4,1
0,104,14,0,1,2,2.498001805406602e-16,2.4980018054066026e-15,2,0.0,7,1
0,104,15,0,1,2,0.0,0.0,3,-1.0,7,1
0,105,14,0,2,1,0.6000000000000002,6.000000000000002,5,1.0,6,2
1,105,15,0,1,0,0.0,0.0,2,-1.2,4,1
1,106,14,0,1,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,4,1
1,106,15,0,1,0,0.0,0.0,2,-1.2,4,1
0,107,50,0,11,7,2.3999999999999977,23.99999999999997,4,0.8,11,11
1,107,50,0,7,0,6.938893903907228e-16,6.9388939039072276e-15,2,0.8,6,7
1,108,50,0,10,1,1.7999999999999985,17.999999999999982,2,1.0,6,10
0,108,50,0,14,9,4.199999999999999,41.99999999999999,4,1.5,23,14
1,109,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,2,0
1,109,9,0,0,0,0.0,0.0,5,-1.2,3,0
0,110,9,2,2,0,1.1,23.0,3,1.0,7,4
1,110,9,2,0,0,0.0,11.0,2,-1.0,3,2
1,111,8,1,0,0,1.3877787807814454e-16,6.000000000000001,2,1.0,4,1
1,111,9,1,0,0,0.0,5.000000000000001,3,-1.0,5,1
1,112,14,2,1,0,2.498001805406602e-16,12.000000000000002,0,0.0,5,3
1,112,15,2,1,0,0.0,11.0,2,-1.0,5,3
