,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,1,1,43,1,8,3,1.3999999999999986,19.999999999999986,0,1,20
0,3,1,43,0,10,3,2.5999999999999983,25.999999999999982,0,0,24
0,2,1,44,1,7,3,0.6999999999999993,12.999999999999993,0,1,22
0,0,1,44,0,9,7,1.9,18.999999999999996,0,0,31
0,3,1,44,0,11,3,3.0999999999999983,30.999999999999982,2,-0.2,25
0,1,1,44,0,8,4,1.2999999999999985,12.999999999999984,4,0.5,21
0,2,1,45,0,7,4,0.5999999999999993,5.999999999999993,4,0.5,23
0,1,1,45,0,8,4,1.1999999999999984,11.999999999999984,0,0,21
0,3,1,45,0,12,3,3.5999999999999983,35.99999999999998,0,0,25
0,0,1,45,0,9,7,1.7999999999999998,17.999999999999996,2,-0.2,32
0,1,1,46,0,8,4,1.0999999999999983,10.999999999999982,0,0,21
0,0,1,46,0,9,7,1.6999999999999997,16.999999999999996,0,0,33
0,3,1,46,0,12,3,3.4999999999999982,34.99999999999998,0,0,25
0,2,1,46,0,7,4,0.49999999999999933,4.999999999999993,0,0,24
0,3,1,47,0,12,3,3.399999999999998,33.99999999999998,0,0,25
0,0,1,47,0,9,7,1.5999999999999996,15.999999999999996,0,0,34
0,1,1,47,0,8,4,0.9999999999999983,9.999999999999982,0,0,21
0,2,1,47,1,7,4,0.39999999999999936,9.999999999999993,0,1,25
0,0,1,48,1,9,7,1.4999999999999996,20.999999999999996,0,1,35
0,3,1,48,1,12,3,3.299999999999998,38.99999999999998,0,1,25
0,1,1,48,0,8,4,0.8999999999999984,8.999999999999982,0,0,21
0,2,1,48,0,8,4,0.8999999999999994,8.999999999999993,1,1,26
0,1,1,49,1,9,4,1.3999999999999984,19.999999999999982,0,1,22
0,3,1,49,0,13,3,3.799999999999998,37.99999999999998,1,1,26
0,2,1,49,0,8,4,0.7999999999999994,7.999999999999994,0,0,27
0,0,1,49,0,9,8,1.3999999999999995,13.999999999999995,2,0.5,36
0,2,1,50,0,8,4,0.6999999999999994,6.999999999999994,1,0.8,28
0,0,1,50,0,9,8,1.2999999999999994,12.999999999999993,0,1,37
0,3,1,50,0,14,3,4.299999999999998,42.99999999999998,0,1,26
0,1,1,50,0,9,5,1.2999999999999983,12.999999999999982,4,1.5,23
0,1,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,2,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,2,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,1,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,0,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,3,2,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,1
0,0,2,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,1
0,1,2,3,0,0,0,0.5000000000000001,5.000000000000001,3,-0.2,2
0,2,2,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,1
0,2,2,4,1,0,0,0.40000000000000013,10.0,0,1,2
0,1,2,4,1,0,0,0.40000000000000013,10.0,0,1,3
0,3,2,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,2
0,0,2,4,1,0,0,0.40000000000000013,10.0,0,1,2
0,0,2,5,0,1,0,0.9,9.0,1,1,3
0,2,2,5,0,1,0,0.9,9.0,1,1,3
0,1,2,5,0,1,0,0.9,9.0,1,1,4
0,3,2,5,1,0,0,0.30000000000000016,9.0,0,1,3
0,0,2,6,0,1,0,0.8,8.0,0,0,3
0,1,2,6,0,1,0,0.8,8.0,0,0,4
0,2,2,6,0,1,0,0.8,8.0,0,0,3
0,3,2,6,1,0,0,0.20000000000000015,8.000000000000002,4,-0.2,4
0,2,2,7,0,1,0,0.7000000000000001,7.0,0,0,3
0,3,2,7,0,1,0,0.7000000000000002,7.000000000000002,1,1,5
0,0,2,7,0,1,0,0.7000000000000001,7.0,0,0,3
0,1,2,7,0,1,0,0.7000000000000001,7.0,0,0,4
0,0,2,8,1,1,0,0.6000000000000001,12.000000000000002,0,1,3
0,1,2,8,0,1,0,0.6000000000000001,6.000000000000001,0,0,5
0,3,2,8,0,1,0,0.6000000000000002,6.000000000000002,0,0,6
0,2,2,8,0,1,0,0.6000000000000001,6.000000000000001,0,0,4
0,0,2,9,0,1,1,0.5000000000000001,5.000000000000001,2,0.5,4
0,3,2,9,0,1,0,0.5000000000000002,5.000000000000002,0,0,7
0,2,2,9,0,1,0,0.5000000000000001,5.000000000000001,0,0,5
0,1,2,9,0,2,0,1.1,11.0,0,0,5
0,1,2,10,1,2,0,1.0,16.0,0,1,5
0,0,2,10,0,1,1,0.40000000000000013,4.000000000000001,0,0,5
0,2,2,10,0,1,0,0.40000000000000013,4.000000000000001,0,0,6
0,3,2,10,0,1,0,0.40000000000000024,4.000000000000002,0,0,8
0,2,2,11,1,1,0,0.30000000000000016,9.0,0,1,7
0,0,2,11,0,1,1,0.30000000000000016,3.0000000000000013,0,0,6
0,3,2,11,0,1,0,0.30000000000000027,3.0000000000000027,0,0,9
0,1,2,11,0,3,0,1.5,15.0,1,1,6
0,3,2,12,0,1,0,0.20000000000000026,2.0000000000000027,0,0,9
0,2,2,12,0,2,0,0.8000000000000002,8.000000000000002,1,1,8
0,0,2,12,0,1,1,0.20000000000000015,2.0000000000000013,0,0,6
0,1,2,12,0,3,0,1.4,13.999999999999998,0,0,6
0,1,2,13,0,3,0,1.2999999999999998,12.999999999999998,0,0,6
0,3,2,13,1,1,0,0.10000000000000026,7.000000000000002,0,1,9
0,0,2,13,0,1,1,0.10000000000000014,1.0000000000000013,0,0,6
0,2,2,13,0,2,0,0.7000000000000002,7.000000000000002,0,0,8
0,3,2,14,0,2,0,0.6000000000000002,6.000000000000002,1,1,10
0,2,2,14,0,2,0,0.6000000000000002,6.000000000000002,0,0,8
0,0,2,14,0,1,1,1.3877787807814457e-16,1.3877787807814457e-15,0,0,6
0,1,2,14,1,3,0,1.1999999999999997,17.999999999999996,0,1,6
0,3,2,15,0,2,0,0.5000000000000002,5.000000000000002,0,0,11
